path,label
../hackerton2-1/CLIPFeatures/ex1__0.npy,Explosion
../hackerton2-1/CLIPFeatures/ex2__0.npy,Shooting
../hackerton2-1/CLIPFeatures/ex3__0.npy,Explosion
../hackerton2-1/CLIPFeatures/ex4__0.npy,Explosion
../hackerton2-1/CLIPFeatures/ex5__0.npy,Explosion
../hackerton2-1/CLIPFeatures/Fighting003_x264__0.npy,Fighting
../hackerton2-1/CLIPFeatures/Fighting018_x264__0.npy,Fighting
../hackerton2-1/CLIPFeatures/Fighting033_x264__0.npy,Fighting
../hackerton2-1/CLIPFeatures/Fighting042_x264__0.npy,Fighting
../hackerton2-1/CLIPFeatures/Fighting047_x264__0.npy,Fighting
../hackerton2-1/CLIPFeatures/Shooting002_x264__0.npy,Shooting
../hackerton2-1/CLIPFeatures/Shooting004_x264__0.npy,Shooting
../hackerton2-1/CLIPFeatures/Shooting007_x264__0.npy,Shooting
../hackerton2-1/CLIPFeatures/Shooting008_x264__0.npy,Shooting
../hackerton2-1/CLIPFeatures/Shooting010_x264__0.npy,Shooting
../hackerton2-1/CLIPFeatures/Shooting011_x264__0.npy,Shooting
../hackerton2-1/CLIPFeatures/Shooting013_x264__0.npy,Shooting
../hackerton2-1/CLIPFeatures/Shooting015_x264__0.npy,Shooting
../hackerton2-1/CLIPFeatures/Shooting018_x264__0.npy,Shooting
../hackerton2-1/CLIPFeatures/Shooting019_x264__0.npy,Shooting
../hackerton2-1/CLIPFeatures/Shooting021_x264__0.npy,Shooting
../hackerton2-1/CLIPFeatures/Shooting022_x264__0.npy,Shooting
../hackerton2-1/CLIPFeatures/Shooting024_x264__0.npy,Shooting
../hackerton2-1/CLIPFeatures/Shooting026_x264__0.npy,Shooting
../hackerton2-1/CLIPFeatures/Shooting028_x264__0.npy,Shooting
../hackerton2-1/CLIPFeatures/Shooting032_x264__0.npy,Shooting
../hackerton2-1/CLIPFeatures/Shooting033_x264__0.npy,Shooting
../hackerton2-1/CLIPFeatures/Shooting034_x264__0.npy,Shooting
../hackerton2-1/CLIPFeatures/Shooting037_x264__0.npy,Shooting
../hackerton2-1/CLIPFeatures/Shooting043_x264__0.npy,Shooting
../hackerton2-1/CLIPFeatures/Shooting046_x264__0.npy,Shooting
../hackerton2-1/CLIPFeatures/Shooting047_x264__0.npy,Shooting
../hackerton2-1/CLIPFeatures/Shooting048_x264__0.npy,Shooting
