path,label
../hackerton2-1/CLIPFeatures/ex1__0.npy,Explosion
../hackerton2-1/CLIPFeatures/ex2__0.npy,Shooting
../hackerton2-1/CLIPFeatures/ex3__0.npy,Explosion
../hackerton2-1/CLIPFeatures/ex4__0.npy,Explosion
../hackerton2-1/CLIPFeatures/ex5__0.npy,Explosion
../hackerton2-1/CLIPFeatures/Braveheart.1995__#00-56-30_00-57-20_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/Braveheart.1995__#01-26-50_01-32-30_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/Braveheart.1995__#02-05-34_02-06-40_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/Braveheart.1995__#02-07-00_02-08-15_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/Brick.Mansions.2014__#00-16-26_00-17-12_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/Brick.Mansions.2014__#00-41-25_00-42-36_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/Bullet.in.the.Head.1990__#00-17-20_00-18-55_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/Casino.Royale.2006__#00-50-05_00-51-16_label_B1-B2-B6__0.npy,B1-B2-B6
../hackerton2-1/CLIPFeatures/Casino.Royale.2006__#00-51-16_00-52-41_label_B1-B6-0__0.npy,B1-B6-0
../hackerton2-1/CLIPFeatures/Casino.Royale.2006__#01-17-29_01-17-46_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/Crank.Dircut.2006__#0-27-42_0-29-01_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/Deadpool.2.2018__#0-50-30_0-51-20_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/Deadpool.2016__#0-18-58_0-19-20_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/Desperado.1995__#00-16-48_00-18-52_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/Desperado.1995__#00-38-36_00-39-21_label_B1-B2-0__0.npy,B1-B2-0
../hackerton2-1/CLIPFeatures/Fast.Five.2011__#00-32-05_00-32-24_label_B1-B2-0__0.npy,B1-B2-0
../hackerton2-1/CLIPFeatures/Fast.Five.2011__#01-29-27_01-32-05_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/Fast.Furious.2009__#00-25-59_00-26-25_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/Fast.Furious.6.2013__#01-03-25_01-04-59_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/Fast.Furious.6.2013__#01-38-33_01-39-20_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/Fury.2014__#00-39-36_00-40-44_label_B1-B2-0__0.npy,B1-B2-0
../hackerton2-1/CLIPFeatures/Gladiator.2000__#01-10-27_01-11-59_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/GoldenEye.1995__#00-24-53_00-25-06_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/GoldenEye.1995__#01-17-05_01-19-57_label_B2-B1-0__0.npy,B2-B1-0
../hackerton2-1/CLIPFeatures/GoldenEye.1995__#02-02-15_02-02-47_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/Haywire.2011__#00-03-51_00-05-12_label_B1-B2-0__0.npy,B1-B2-0
../hackerton2-1/CLIPFeatures/Haywire.2011__#00-16-07_00-16-49_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/Haywire.2011__#00-39-07_00-41-48_label_B1-B2-0__0.npy,B1-B2-0
../hackerton2-1/CLIPFeatures/Haywire.2011__#01-20-20_01-21-57_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/IP.Man.2.2010__#00-07-14_00-09-13_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/IP.Man.2.2010__#01-35-55_01-39-11_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/Ip.Man.2008__#00-46-51_00-47-30_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/Ip.Man.2008__#00-48-57_00-50-47_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/Ip.Man.2008__#01-14-31_01-15-24_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/Ip.Man.3.2015__#00-17-51_00-18-51_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/Ip.Man.3.2015__#00-44-45_00-45-08_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/Ip.Man.3.2015__#00-46-08_00-54-20_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/Kill.Bill.Vol.1.2003__#01-17-20_01-20-20_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/Kill.Bill.Vol.1.2003__#01-21-39_01-26-55_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/Kill.Bill.Vol.1.2003__#01-26-56_01-28-18_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/Kingsman.The.Golden.Circle.2017__#00-35-55_00-36-35_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/Lord.of.War__#01-41-04_01-41-53_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/Mission.Impossible.Fallout.2018__#00-31-21_00-32-50_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/Mission.Impossible.Fallout.2018__#00-39-18_00-40-36_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/Mission.Impossible.Fallout.2018__#02-03-50_02-04-35_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/Mission.Impossible.Ghost.Protocol.2011__#01-12-38_01-13-43_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/Mission.Impossible.Ghost.Protocol.2011__#01-54-24_01-54-50_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/Mission.Impossible.Ghost.Protocol.2011__#01-56-52_01-57-03_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/Mission.Impossible.II.2000__#01-29-30_01-29-44_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/Mission.Impossible.II.2000__#01-32-56_01-33-25_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/Mission.Impossible.V.Rogue.Nation.2015__#00-14-40_00-17-12_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/New.Kids.Turbo.2010__#00-22-35_00-23-14_label_B1-0-0__0.npy,B1-0-0
../hackerton2-1/CLIPFeatures/New.Kids.Turbo.2010__#00-50-13_00-50-34_label_B1-0-0__0.npy,B1-0-0
