path,label
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse001_x264__0.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse001_x264__1.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse001_x264__2.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse001_x264__3.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse001_x264__4.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse001_x264__5.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse001_x264__6.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse001_x264__7.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse001_x264__8.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse001_x264__9.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse002_x264__0.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse002_x264__1.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse002_x264__2.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse002_x264__3.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse002_x264__4.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse002_x264__5.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse002_x264__6.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse002_x264__7.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse002_x264__8.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse002_x264__9.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse003_x264__0.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse003_x264__1.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse003_x264__2.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse003_x264__3.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse003_x264__4.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse003_x264__5.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse003_x264__6.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse003_x264__7.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse003_x264__8.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse003_x264__9.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse004_x264__0.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse004_x264__1.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse004_x264__2.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse004_x264__3.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse004_x264__4.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse004_x264__5.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse004_x264__6.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse004_x264__7.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse004_x264__8.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse004_x264__9.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse005_x264__0.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse005_x264__1.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse005_x264__2.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse005_x264__3.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse005_x264__4.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse005_x264__5.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse005_x264__6.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse005_x264__7.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse005_x264__8.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse005_x264__9.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse006_x264__0.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse006_x264__1.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse006_x264__2.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse006_x264__3.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse006_x264__4.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse006_x264__5.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse006_x264__6.npy,Abuse
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Abuse/Abuse006_x264__7.npy,Abuse
