path,label
../VAD_dataset/UCF-Crimes/UCF_Crimes/refine_description/ucf_output_refine_1/Abuse001_x264__0_refine_1.npy,Abuse
../VAD_dataset/UCF-Crimes/UCF_Crimes/refine_description/ucf_output_refine_1/Abuse001_x264__1_refine_1.npy,Abuse
../VAD_dataset/UCF-Crimes/UCF_Crimes/refine_description/ucf_output_refine_1/Abuse001_x264__2_refine_1.npy,Abuse
../VAD_dataset/UCF-Crimes/UCF_Crimes/refine_description/ucf_output_refine_1/Abuse001_x264__3_refine_1.npy,Abuse
../VAD_dataset/UCF-Crimes/UCF_Crimes/refine_description/ucf_output_refine_1/Abuse001_x264__4_refine_1.npy,Abuse
../VAD_dataset/UCF-Crimes/UCF_Crimes/refine_description/ucf_output_refine_1/Abuse001_x264__5_refine_1.npy,Abuse
../VAD_dataset/UCF-Crimes/UCF_Crimes/refine_description/ucf_output_refine_1/Abuse001_x264__6_refine_1.npy,Abuse
../VAD_dataset/UCF-Crimes/UCF_Crimes/refine_description/ucf_output_refine_1/Abuse001_x264__7_refine_1.npy,Abuse
../VAD_dataset/UCF-Crimes/UCF_Crimes/refine_description/ucf_output_refine_1/Abuse001_x264__8_refine_1.npy,Abuse
../VAD_dataset/UCF-Crimes/UCF_Crimes/refine_description/ucf_output_refine_1/Abuse001_x264__9_refine_1.npy,Abuse
../VAD_dataset/UCF-Crimes/UCF_Crimes/refine_description/ucf_output_refine_1/Abuse002_x264__0_refine_1.npy,Abuse
../VAD_dataset/UCF-Crimes/UCF_Crimes/refine_description/ucf_output_refine_1/Abuse002_x264__1_refine_1.npy,Abuse
../VAD_dataset/UCF-Crimes/UCF_Crimes/refine_description/ucf_output_refine_1/Abuse002_x264__2_refine_1.npy,Abuse
../VAD_dataset/UCF-Crimes/UCF_Crimes/refine_description/ucf_output_refine_1/Abuse002_x264__3_refine_1.npy,Abuse
../VAD_dataset/UCF-Crimes/UCF_Crimes/refine_description/ucf_output_refine_1/Abuse002_x264__4_refine_1.npy,Abuse
../VAD_dataset/UCF-Crimes/UCF_Crimes/refine_description/ucf_output_refine_1/Abuse002_x264__5_refine_1.npy,Abuse
../VAD_dataset/UCF-Crimes/UCF_Crimes/refine_description/ucf_output_refine_1/Abuse002_x264__6_refine_1.npy,Abuse
../VAD_dataset/UCF-Crimes/UCF_Crimes/refine_description/ucf_output_refine_1/Abuse002_x264__7_refine_1.npy,Abuse
../VAD_dataset/UCF-Crimes/UCF_Crimes/refine_description/ucf_output_refine_1/Abuse002_x264__8_refine_1.npy,Abuse
../VAD_dataset/UCF-Crimes/UCF_Crimes/refine_description/ucf_output_refine_1/Abuse002_x264__9_refine_1.npy,Abuse
../VAD_dataset/UCF-Crimes/UCF_Crimes/refine_description/ucf_output_refine_1/Abuse003_x264__0_refine_1.npy,Abuse
../VAD_dataset/UCF-Crimes/UCF_Crimes/refine_description/ucf_output_refine_1/Abuse003_x264__1_refine_1.npy,Abuse
