path,label
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Arrest/Arrest001_x264__0.npy,Arrest
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Arrest/Arrest007_x264__0.npy,Arrest
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Arson/Arson007_x264__0.npy,Arson
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Arson/Arson009_x264__0.npy,Arson
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Arson/Arson010_x264__0.npy,Arson
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Arson/Arson011_x264__0.npy,Arson
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Assault/Assault006_x264__0.npy,Assault
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Assault/Assault010_x264__0.npy,Assault
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Burglary/Burglary005_x264__0.npy,Burglary
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Explosion/Explosion002_x264__0.npy,Explosion
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Explosion/Explosion004_x264__0.npy,Explosion
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Explosion/Explosion007_x264__0.npy,Explosion
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Explosion/Explosion008_x264__0.npy,Explosion
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Explosion/Explosion010_x264__0.npy,Explosion
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/Fighting/Fighting003_x264__0.npy,Fighting
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/RoadAccidents/RoadAccidents001_x264__0.npy,RoadAccidents
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/RoadAccidents/RoadAccidents002_x264__0.npy,RoadAccidents
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/RoadAccidents/RoadAccidents004_x264__0.npy,RoadAccidents
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/RoadAccidents/RoadAccidents009_x264__0.npy,RoadAccidents
/home/yeogeon/YG_main/diffusion_model/VAD_dataset/UCFClipFeatures/RoadAccidents/RoadAccidents010_x264__0.npy,RoadAccidents
