path,label
../VAD_dataset/UCFClipFeatures_I3D/Abuse001_x264__0.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse001_x264__1.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse001_x264__2.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse001_x264__3.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse001_x264__4.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse001_x264__5.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse001_x264__6.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse001_x264__7.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse001_x264__8.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse001_x264__9.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse002_x264__0.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse002_x264__1.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse002_x264__2.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse002_x264__3.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse002_x264__4.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse002_x264__5.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse002_x264__6.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse002_x264__7.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse002_x264__8.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse002_x264__9.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse003_x264__0.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse003_x264__1.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse003_x264__2.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse003_x264__3.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse003_x264__4.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse003_x264__5.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse003_x264__6.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse003_x264__7.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse003_x264__8.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse003_x264__9.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse004_x264__0.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse004_x264__1.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse004_x264__2.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse004_x264__3.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse004_x264__4.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse004_x264__5.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse004_x264__6.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse004_x264__7.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse004_x264__8.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse004_x264__9.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse005_x264__0.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse005_x264__1.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse005_x264__2.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse005_x264__3.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse005_x264__4.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse005_x264__5.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse005_x264__6.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse005_x264__7.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse005_x264__8.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse005_x264__9.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse006_x264__0.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse006_x264__1.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse006_x264__2.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse006_x264__3.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse006_x264__4.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse006_x264__5.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse006_x264__6.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse006_x264__7.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse006_x264__8.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse006_x264__9.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse007_x264__0.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse007_x264__1.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse007_x264__2.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse007_x264__3.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse007_x264__4.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse007_x264__5.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse007_x264__6.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse007_x264__7.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse007_x264__8.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse007_x264__9.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse008_x264__0.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse008_x264__1.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse008_x264__2.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse008_x264__3.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse008_x264__4.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse008_x264__5.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse008_x264__6.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse008_x264__7.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse008_x264__8.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse008_x264__9.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse009_x264__0.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse009_x264__1.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse009_x264__2.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse009_x264__3.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse009_x264__4.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse009_x264__5.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse009_x264__6.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse009_x264__7.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse009_x264__8.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse009_x264__9.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse010_x264__0.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse010_x264__1.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse010_x264__2.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse010_x264__3.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse010_x264__4.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse010_x264__5.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse010_x264__6.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse010_x264__7.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse010_x264__8.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse010_x264__9.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse011_x264__0.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse011_x264__1.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse011_x264__2.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse011_x264__3.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse011_x264__4.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse011_x264__5.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse011_x264__6.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse011_x264__7.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse011_x264__8.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse011_x264__9.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse012_x264__0.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse012_x264__1.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse012_x264__2.npy,Abuse
