path,label
../VAD_dataset/UCFClipFeatures_I3D/Abuse028_x264__0.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Abuse030_x264__0.npy,Abuse
../VAD_dataset/UCFClipFeatures_I3D/Arrest001_x264__0.npy,Arrest
../VAD_dataset/UCFClipFeatures_I3D/Arrest007_x264__0.npy,Arrest
../VAD_dataset/UCFClipFeatures_I3D/Arrest024_x264__0.npy,Arrest
../VAD_dataset/UCFClipFeatures_I3D/Arrest030_x264__0.npy,Arrest
../VAD_dataset/UCFClipFeatures_I3D/Arrest039_x264__0.npy,Arrest
../VAD_dataset/UCFClipFeatures_I3D/Arson007_x264__0.npy,Arson
../VAD_dataset/UCFClipFeatures_I3D/Arson009_x264__0.npy,Arson
../VAD_dataset/UCFClipFeatures_I3D/Arson010_x264__0.npy,Arson
../VAD_dataset/UCFClipFeatures_I3D/Arson011_x264__0.npy,Arson
../VAD_dataset/UCFClipFeatures_I3D/Arson016_x264__0.npy,Arson
../VAD_dataset/UCFClipFeatures_I3D/Arson018_x264__0.npy,Arson
../VAD_dataset/UCFClipFeatures_I3D/Arson022_x264__0.npy,Arson
../VAD_dataset/UCFClipFeatures_I3D/Arson035_x264__0.npy,Arson
../VAD_dataset/UCFClipFeatures_I3D/Arson041_x264__0.npy,Arson
../VAD_dataset/UCFClipFeatures_I3D/Assault006_x264__0.npy,Assault
../VAD_dataset/UCFClipFeatures_I3D/Assault010_x264__0.npy,Assault
../VAD_dataset/UCFClipFeatures_I3D/Assault011_x264__0.npy,Assault
../VAD_dataset/UCFClipFeatures_I3D/Burglary005_x264__0.npy,Burglary
../VAD_dataset/UCFClipFeatures_I3D/Burglary017_x264__0.npy,Burglary
../VAD_dataset/UCFClipFeatures_I3D/Burglary018_x264__0.npy,Burglary
../VAD_dataset/UCFClipFeatures_I3D/Burglary021_x264__0.npy,Burglary
../VAD_dataset/UCFClipFeatures_I3D/Burglary024_x264__0.npy,Burglary
../VAD_dataset/UCFClipFeatures_I3D/Burglary032_x264__0.npy,Burglary
../VAD_dataset/UCFClipFeatures_I3D/Burglary033_x264__0.npy,Burglary
../VAD_dataset/UCFClipFeatures_I3D/Burglary035_x264__0.npy,Burglary
../VAD_dataset/UCFClipFeatures_I3D/Burglary037_x264__0.npy,Burglary
../VAD_dataset/UCFClipFeatures_I3D/Burglary061_x264__0.npy,Burglary
../VAD_dataset/UCFClipFeatures_I3D/Burglary076_x264__0.npy,Burglary
../VAD_dataset/UCFClipFeatures_I3D/Burglary079_x264__0.npy,Burglary
../VAD_dataset/UCFClipFeatures_I3D/Burglary092_x264__0.npy,Burglary
../VAD_dataset/UCFClipFeatures_I3D/Explosion002_x264__0.npy,Explosion
../VAD_dataset/UCFClipFeatures_I3D/Explosion004_x264__0.npy,Explosion
../VAD_dataset/UCFClipFeatures_I3D/Explosion007_x264__0.npy,Explosion
../VAD_dataset/UCFClipFeatures_I3D/Explosion008_x264__0.npy,Explosion
../VAD_dataset/UCFClipFeatures_I3D/Explosion010_x264__0.npy,Explosion
../VAD_dataset/UCFClipFeatures_I3D/Explosion011_x264__0.npy,Explosion
../VAD_dataset/UCFClipFeatures_I3D/Explosion013_x264__0.npy,Explosion
../VAD_dataset/UCFClipFeatures_I3D/Explosion016_x264__0.npy,Explosion
../VAD_dataset/UCFClipFeatures_I3D/Explosion017_x264__0.npy,Explosion
../VAD_dataset/UCFClipFeatures_I3D/Explosion020_x264__0.npy,Explosion
../VAD_dataset/UCFClipFeatures_I3D/Explosion021_x264__0.npy,Explosion
../VAD_dataset/UCFClipFeatures_I3D/Explosion022_x264__0.npy,Explosion
../VAD_dataset/UCFClipFeatures_I3D/Explosion025_x264__0.npy,Explosion
../VAD_dataset/UCFClipFeatures_I3D/Explosion027_x264__0.npy,Explosion
../VAD_dataset/UCFClipFeatures_I3D/Explosion028_x264__0.npy,Explosion
../VAD_dataset/UCFClipFeatures_I3D/Explosion029_x264__0.npy,Explosion
../VAD_dataset/UCFClipFeatures_I3D/Explosion033_x264__0.npy,Explosion
../VAD_dataset/UCFClipFeatures_I3D/Explosion035_x264__0.npy,Explosion
../VAD_dataset/UCFClipFeatures_I3D/Explosion036_x264__0.npy,Explosion
../VAD_dataset/UCFClipFeatures_I3D/Explosion039_x264__0.npy,Explosion
../VAD_dataset/UCFClipFeatures_I3D/Explosion043_x264__0.npy,Explosion
../VAD_dataset/UCFClipFeatures_I3D/Fighting003_x264__0.npy,Fighting
../VAD_dataset/UCFClipFeatures_I3D/Fighting018_x264__0.npy,Fighting
../VAD_dataset/UCFClipFeatures_I3D/Fighting033_x264__0.npy,Fighting
../VAD_dataset/UCFClipFeatures_I3D/Fighting042_x264__0.npy,Fighting
../VAD_dataset/UCFClipFeatures_I3D/Fighting047_x264__0.npy,Fighting
../VAD_dataset/UCFClipFeatures_I3D/RoadAccidents001_x264__0.npy,RoadAccidents
../VAD_dataset/UCFClipFeatures_I3D/RoadAccidents002_x264__0.npy,RoadAccidents
../VAD_dataset/UCFClipFeatures_I3D/RoadAccidents004_x264__0.npy,RoadAccidents
../VAD_dataset/UCFClipFeatures_I3D/RoadAccidents009_x264__0.npy,RoadAccidents
